,index,MLS,address,Property_info,area_sqft,bed_num,bath_num,asking_price,price_change,listing_entered,seller_info
0,0, R2836804,21539 85A COURT,House,2394,3,3,1548800,,2023-12-08 00:00:00,Emily Oh Realty
1,1, R2836817,21256 93A AVENUE,House,2661,6,3,1999900,,2023-12-08 00:00:00,Stonehaus Realty Corp.
2,2, R2836928,# 11 7635 198B STREET,Townhouse,2123,4,4,1159900,,2023-12-08 00:00:00,eXp Realty
3,3, R2833095,20414 71B AVENUE,House,3603,7,6,2249000,2023-11-17 00:00:00,2023-12-08 00:00:00,eXp Realty (Branch)
4,4, R2829545,23281 34A AVENUE,House,2540,4,3,1649000,2023-11-02 00:00:00,2023-12-08 00:00:00,Royal LePage - Wolstencroft
5,5, R2836681,19950 46 AVENUE,House,3626,5,4,1849000,,2023-12-08 00:00:00,Sutton Group-West Coast Realty (Abbotsford)
6,6, R2836768,4444 203 STREET,House,6110,9,9,2899900,,2023-12-07 00:00:00,Royal LePage Global Force RealtySutton Group-West Coast Realty (Surrey/120)
7,7, R2836763,# 9 20582 67 AVENUE,House,2105,4,4,1099000,,2023-12-07 00:00:00,RE/MAX All Points Realty
8,8, R2836623,# 35 7670 207 STREET,Townhouse,2138,4,4,1090000,,2023-12-07 00:00:00,RE/MAX Performance Realty
9,9, R2836235,7801 211B STREET,UnauthorizedSuite,2393,4,4,1299888,,2023-12-07 00:00:00,Woodhouse Realty
10,10, R2836466,19879 72ND AVENUE,House,2427,4,4,1499000,,2023-12-07 00:00:00,Woodhouse Realty
11,11, R2836302,6832 197 STREET,House,3653,6,4,1799888,,2023-12-07 00:00:00,Sutton Group-West Coast Realty (Surrey/24)
12,12, R2831858,# 17 21848 50 AVENUE,Townhouse,1970,2,3,1048000,2023-11-14 00:00:00,2023-12-07 00:00:00,RE/MAX Treeland Realty
13,13, R2836058,9305 204 STREET,House,2598,4,3,1580000,,2023-12-06 00:00:00,RE/MAX Lifestyles Realty (Langley)RE/MAX Lifestyles Realty (Langley)Homelife Benchmark Realty Corp.
